B,P,C,X,N,Time
5,1,1,0,1,10.342189
5,1,5,0,1,10.327874
5,5,1,0,1,2.204061
5,5,5,0,1,2.221068
10,1,1,0,1,10.317033
10,1,5,0,1,10.324017
10,1,10,0,1,10.360968
10,5,1,0,1,2.195818
10,5,5,0,1,2.198667
10,5,10,0,1,2.225340
10,10,1,0,1,1.230080
10,10,5,0,1,1.213589
10,10,10,0,1,1.218834
5,1,1,200,1,10.328678
5,1,5,200,1,10.343327
5,5,1,200,1,2.191553
5,5,5,200,1,2.198802
10,1,1,200,1,10.320250
10,1,5,200,1,10.356384
10,1,10,200,1,10.300983
10,5,1,200,1,2.183952
10,5,5,200,1,2.168179
10,5,10,200,1,2.212513
10,10,1,200,1,1.200779
10,10,5,200,1,1.206117
10,10,10,200,1,1.222045
5,1,1,400,1,10.294258
5,1,5,400,1,10.321325
5,5,1,400,1,2.201361
5,5,5,400,1,2.186837
10,1,1,400,1,10.313174
10,1,5,400,1,10.308040
10,1,10,400,1,10.326637
10,5,1,400,1,2.188216
10,5,5,400,1,2.169355
10,5,10,400,1,2.185927
10,10,1,400,1,1.241034
10,10,5,400,1,1.213951
10,10,10,400,1,1.211413
